Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,52,43.449106515291,51
55,142,14.718597479466258,137
54,78,22.39137088383371,57
53,32,14.779810370058867,26
52,29,31.366656541528222,22
51,114,103.95585613819746,111
50,88,666033278.5780793,74
49,141,563.9569279726711,133
48,142,44146.587250204495,133
47,209,2747.9187380695785,193
46,178,409.8933320787016,156
45,52,906.3265541215355,37
44,1199,1356.1821609800816,1195
43,159,329.092680611417,11
42,618,,
41,61,684.4773994700162,4
40,1,,
39,2,,
38,2,123.75019386608666,1
37,6,,
36,28,854096.2942054488,27
35,4,624.6351810330144,3
34,13,,
33,16,,
32,12,43542.31155929537,11
31,46,,
30,15,847.33627321031,5
29,8,,
28,4,800.6983730814683,3
27,13,957.5357112824481,11
26,7,2252.219711370154,5
25,67,686.7593259248474,19
23,3,,
19,1,,
16,1,,
