Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,433.0935461328083,49
55,143,96.92203652100615,136
54,78,70.56595852208339,56
53,39,72.1566197311644,32
52,23,51.6098831636924,22
51,117,55.34091811328072,114
50,87,463.8199554098381,76
49,129,102.99936695008046,123
48,154,63.24401378548588,135
47,210,58.77232381790478,196
46,167,32.08153026084558,148
45,61,54.875133475592854,38
44,1222,36.60022023242371,1219
43,133,31.962048256957697,9
42,615,22.2321188318516,613
41,66,47.688499315557095,4
40,1,,
39,1,,
38,3,14.539508213993052,1
37,7,,
36,25,,
35,6,254.95714968964674,3
34,13,,
33,15,,
32,11,279.4609743990197,9
31,47,69.58092526123345,45
30,15,40.071780764285265,4
29,9,140.68853184180924,8
28,5,536.8032451819021,4
27,12,141.35869176813532,11
26,7,724.393904764779,5
25,61,212.8417918490093,13
24,6,,
23,3,,
19,1,,
16,1,,
