Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,29.46648004081633,49
55,155,2.03589493108108,148
54,67,4.29015960368421,57
53,33,3.234155496296296,27
52,28,1.0747506999999998,22
51,121,1.53220660279661,118
50,83,258.0250944486842,76
49,131,97.2221193064,125
48,153,33.10088873125,136
47,207,61.53629560309278,194
46,172,6.921931145099339,151
45,56,12.414981011388885,36
44,1200,3.8663059967196647,1195
43,158,13.89604507,10
42,605,1.182057060347682,604
41,75,41.05367124999997,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,104.51213333333338,3
34,11,,
33,17,89.21987322666668,15
32,13,126.8615307,11
31,56,,
30,4,,
29,10,44.216873222222226,9
28,4,,
27,12,162.95882938181822,11
26,7,880.606059,5
25,63,4.380001953333333,15
24,4,,
23,3,,
19,1,,
16,1,,
