Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,51,,
55,147,21.246226440539097,142
54,70,83.06653706254737,54
53,40,17.03807493843143,31
52,20,26.030126374496678,18
51,113,93.74587979191423,106
50,93,12106552127.199862,74
49,138,528.6899451297598,130
48,144,1169.1847864168653,132
47,212,102442.05324249392,195
46,172,51028.15362517412,152
45,57,14017.573806142836,38
44,1214,1191.1708341567876,1211
43,143,52859.697120153236,11
42,609,,
41,70,532.2308364393407,4
40,1,,
39,2,,
38,2,483.64961198718083,1
37,7,,
36,27,,
35,4,830.0098639580606,3
34,13,,
33,14,,
32,14,7724.713826437575,11
31,49,,
30,12,744.0974166421481,5
29,9,,
28,2,,
27,13,3450.2216567691307,10
26,8,2232.0386953944417,5
25,65,15332.070752736168,17
24,2,,
23,3,,
19,1,,
16,1,,
