Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,54,,
55,142,15.569925071714286,140
54,73,14.108622571454545,55
53,37,8.51466934137931,29
52,27,4.334841307965217,23
51,120,3.4533654428915255,118
50,86,563.6326111098633,79
49,132,152.14564970057677,129
48,148,96.00652236153836,135
47,212,86.07605948799596,198
46,169,17.95590389257,152
45,56,27.645410988108107,37
44,1194,17.038225573177144,1190
43,163,38.29031133440001,10
42,614,7.101368730202284,613
41,66,12.091563600000043,4
40,1,,
39,2,,
38,2,0.5634361999999999,1
37,6,,
36,23,28.596910835054544,22
35,9,241.83445984666668,3
34,12,,
33,17,298.0626135815999,16
32,11,347.66348176848,10
31,49,62.926988082333324,48
30,12,57.61497105000004,4
29,9,50.127448643250034,8
28,4,47.09804807285332,3
27,14,177.76660667693332,12
26,5,1405.3055582504,4
25,66,22.44266633204706,17
24,2,,
23,3,,
18,1,,
16,1,,
