Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,47,,
55,152,2.802219876923076,143
54,72,16.991227480877196,57
53,35,1.110255810344827,29
52,28,1.4443093625,24
51,110,2.237816173853211,109
50,91,226.49861701146665,75
49,137,84.8239329469231,130
48,141,32.83077575775194,129
47,214,45.47978204948453,194
46,170,6.200819338926174,149
45,60,15.611692984473681,38
44,1214,6.6427799188604455,1211
43,141,12.159415744444445,9
42,614,2.147791107352941,612
41,66,45.2377616666667,3
40,2,0.5091169999999994,1
39,2,,
38,2,0.22784340000000025,1
37,7,,
36,26,,
35,5,85.04766999999997,3
34,11,,
33,15,99.25467818461543,13
32,12,37.342380625000025,8
31,58,33.13380458727273,55
30,6,45.794925800000044,5
29,8,,
28,5,494.5765,4
27,10,94.8917932,9
26,9,878.6176079999999,5
25,65,37.93721931176471,17
24,2,,
23,3,,
19,1,,
16,1,,
