Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,,
55,142,154.24048967253708,136
54,79,61.35558753975882,57
53,37,67.49169554411174,31
52,22,38.63418015371999,20
51,116,58.305291854351694,111
50,87,182.771364201371,73
49,142,111.64471575074782,133
48,141,80.18296643359666,132
47,207,87.57518088243181,190
46,176,38.649497089238416,151
45,59,47.76653063261789,39
44,1216,33.035604536800214,1214
43,140,42.65010964726798,11
42,613,,
41,65,42.07925528163048,3
40,2,31.47689247184277,1
39,2,,
38,2,54.41411193909568,1
37,6,,
36,28,83.78107171582766,27
35,4,91.84647840136442,3
34,11,,
33,15,201.94115612837626,13
32,14,236.27410506339024,10
31,50,70.10674681669427,49
30,11,138.62914044668273,4
29,8,128.51611444201146,7
28,6,481.6027926747784,4
27,11,156.4604580774744,10
26,8,938.0077463717622,5
25,65,64.19349728480091,17
24,2,,
23,3,,
19,1,,
16,1,,
