Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,,
55,147,42.15929863491642,141
54,69,25.2216793217102,52
53,42,23.627929555812937,31
52,23,16.624817228242392,21
51,112,17.01517421585406,108
50,91,703.1154131730004,74
49,135,439.82595528668736,127
48,149,268.10026662132793,134
47,211,398.68853094996024,196
46,175,214.2240496504021,156
45,53,281.5365551368355,38
44,1209,177.36403420478504,1206
43,148,142.46493491760629,11
42,610,,
41,69,537.6803555,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,590.5253678166271,3
34,13,,
33,12,,
32,16,612.2895484031719,11
31,51,,
30,10,365.9918760721221,5
29,8,,
28,5,1531.2006425,4
27,12,432.1152722962733,11
26,6,2492.509873525878,4
25,66,101.76628552870945,17
24,2,,
23,3,,
19,1,,
16,1,,
