Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,53,439.6630106571952,52
55,147,707.4349117319397,143
54,71,156.21787771696737,56
53,35,179.48461754771282,28
52,28,189.58427867720278,23
51,113,152.2735903843462,111
50,86,434.6436307278522,72
49,139,178.1569033525997,129
48,146,131.17587544630817,133
47,209,111.32948618472365,193
46,178,92.87628446643988,156
45,55,136.79262600759898,40
44,1213,100.57454332943774,1212
43,142,82.3940707605849,11
42,596,,
41,83,121.90992463794218,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,266.2833278785038,3
34,10,,
33,18,198.63298449895396,15
32,11,314.0712694404392,9
31,54,120.27020500519997,52
30,9,126.92617571135874,5
29,8,,
28,5,718.9072484421447,4
27,12,169.99563410591676,11
26,6,433.9116687889892,4
25,65,194.74177533178528,16
24,3,,
23,3,,
19,1,,
16,1,,
