Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,55,376.00380955933366,54
55,145,229.42210654543874,143
54,73,128.6716117376135,58
53,35,126.83899970003304,30
52,25,173.40325031909353,22
51,116,153.39639190704668,113
50,84,361.325787621654,72
49,135,197.6306111078128,125
48,149,204.72710061803582,132
47,212,140.9600393204977,195
46,174,105.79809695293079,154
45,54,116.98675360082996,37
44,1211,72.89711891030971,1207
43,147,68.67835563276478,11
42,606,,
41,73,455.31066584801954,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,86.22925658586695,25
35,5,341.5493483503685,2
34,13,164.3643112239848,12
33,17,178.51052915768685,16
32,12,246.03832134640209,11
31,47,,
30,14,68.92205676642978,5
29,6,,
28,7,885.4916416118994,4
27,12,359.21406346569586,11
26,6,831.4557616823158,4
25,67,106.15950220965185,18
24,1,,
23,3,,
19,1,,
16,1,,
