Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,49,37.176505518750005,48
55,152,3.0723459923611105,144
54,69,6.182830802,55
53,38,1.5257591769999992,30
52,25,1.2378720636363636,22
51,113,2.8696045696363632,110
50,90,255.41877528453333,75
49,140,70.11261167819549,133
48,145,40.62436336360294,136
47,200,53.82228429144385,187
46,187,6.504719798679246,159
45,49,8.800271178378377,37
44,1213,3.9734570315880893,1209
43,145,19.389773036363636,11
42,604,,
41,74,213.68403666666669,3
40,2,0.18864409999999987,1
39,3,,
38,1,,
37,7,,
36,26,,
35,5,34.47046999999998,3
34,12,,
33,15,168.13191184285714,14
32,13,118.81162406,10
31,52,32.73206229607843,51
30,9,39.30159374999997,4
29,9,35.035787675,8
28,4,818.1662893333333,3
27,11,197.02751301111115,9
26,9,696.1211806800001,5
25,63,37.248241416666666,15
24,4,,
23,3,,
19,1,,
16,1,,
