Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,52,40.82167948529414,51
55,140,515.3307531,135
54,80,519.9237651471631,57
53,36,521.0540395016909,30
52,27,528.1605003075762,24
51,114,527.1382870611077,113
50,85,659.2634130254012,73
49,140,438.97083760075935,131
48,148,453.66691164741394,137
47,211,465.56459832369245,199
46,167,442.0875202748017,151
45,57,436.75967002121394,37
44,1212,436.6061439130389,1208
43,145,411.46209006713195,10
42,602,439.0395900244522,601
41,76,218.5867033821043,2
40,3,489.6730091236725,1
39,2,,
38,2,407.1390446684051,1
37,7,,
36,23,,
35,7,350.9479328800242,2
34,12,455.211176258536,11
33,16,506.0472776097573,14
32,14,490.64140439450244,11
31,53,,
30,8,291.2446737864609,5
29,9,,
28,4,,
27,12,301.7145732836277,11
26,7,690.0869640341792,5
25,65,386.46638376416905,17
24,2,,
23,3,,
19,1,,
16,1,,
