Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,51,,
55,148,95.05636091888111,143
54,71,517.9357333743067,56
53,38,521.4426207388632,31
52,26,527.9658054227209,24
51,109,526.9918653886085,108
50,91,636.3157993321067,74
49,137,352.9069677839016,129
48,147,338.3092727590296,134
47,211,366.1152355925511,196
46,175,366.08893424521244,156
45,50,337.0567949213682,35
44,1210,319.9667089176526,1204
43,149,347.92267059444316,10
42,609,326.69779648113143,608
41,71,253.94402748725534,4
39,4,465.5440153532933,3
38,1,,
37,6,,
36,25,294.5542793558246,24
35,6,353.2145220259904,2
34,13,430.3267589291794,12
33,17,379.67829239064605,16
32,12,414.03361418625013,11
31,51,,
30,8,278.7668461507154,3
29,10,362.99826479559795,8
28,5,728.764417238216,4
27,10,334.4047625787183,9
26,9,700.3668436142901,5
25,64,410.68990626014283,16
24,3,,
23,3,,
19,1,,
16,1,,
