Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,53,,
55,143,42.09973395845037,140
54,76,23.406626290735804,58
53,35,24.24803731535746,30
52,23,17.250411056350885,20
51,118,15.663294978172765,113
50,88,685.2508303711135,76
49,136,455.75445766777466,130
48,150,277.9784781532994,138
47,206,421.9749749267993,195
46,178,218.91625542942467,158
45,50,290.6552572327817,37
44,1202,183.45082845931168,1198
43,155,107.31008756654279,10
42,606,99.78041364558061,605
41,73,379.3228743154919,3
40,2,98.85423870007206,1
39,3,,
38,1,,
37,6,,
36,24,74.60892754860065,23
35,8,588.1231035798686,3
34,12,,
33,16,1044.1764997853775,15
32,13,614.4401935634559,11
31,49,,
30,12,367.4145501908393,5
29,7,,
28,6,1531.2006425,4
27,10,288.97516590677975,9
26,9,2013.140740092897,5
25,64,103.5543553056934,16
24,3,,
23,3,,
19,1,,
16,1,,
