Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,54,36.06172860490567,53
55,149,39.314077391481305,146
54,69,25.233674467744088,57
53,33,20.848937580793034,27
52,30,17.07370276911029,24
51,116,16.517062098875424,115
50,81,740.8830898589986,71
49,140,471.7723417812048,129
48,144,286.6857279148509,131
47,215,413.53647519890484,197
46,166,226.32918466192965,148
45,60,288.1950059493332,37
44,1213,187.07476544009677,1209
43,145,145.48217533498962,11
42,602,,
41,77,537.6803555,4
40,1,,
39,2,,
38,2,100.5971089385442,1
37,7,,
36,26,,
35,5,586.5034307737556,3
34,11,,
33,15,972.7276675513021,13
32,14,668.0790573535843,10
31,53,242.99076487804462,52
30,9,368.41288244632017,5
29,7,,
28,6,1531.2006425000002,4
27,12,415.3013617140752,11
26,6,1903.4251263153235,4
25,67,105.71667468413139,18
24,1,,
23,3,,
18,1,,
16,1,,
