Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,44.045682739583334,48
55,162,8.108974096753247,154
54,59,2.029760196545455,55
53,38,2.010375076666666,30
52,24,2.1465345195238097,21
51,116,1.9853265772321425,112
50,86,238.95596294849315,73
49,142,87.89824936541353,133
48,145,33.62136740514706,136
47,211,50.11499766262626,198
46,173,5.082512101025641,156
45,51,19.5845119375,36
44,1198,4.6357985406035205,1193
43,158,15.258998262500004,8
42,605,1.3484839992524915,602
41,77,18.831422999999987,4
40,1,,
39,3,,
38,1,,
37,7,,
36,26,,
35,5,85.04766999999997,3
34,12,,
33,15,95.00500224285715,14
32,14,210.44681090000003,11
31,49,,
30,12,68.048436,5
29,9,,
28,3,,
27,14,156.82426782500002,12
26,5,547.7044249999999,4
25,66,32.2692019,17
24,2,,
23,3,,
19,1,,
16,1,,
