Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,53,43.42243283461541,52
55,148,514.9894058534722,144
54,71,517.8622231384392,57
53,34,526.0671574351196,28
52,25,527.4617779724479,20
51,112,526.7191385100858,107
50,90,646.5505095776682,72
49,139,437.4890012830865,129
48,147,451.4947037074178,134
47,207,457.31934720217583,192
46,180,438.5721870720896,157
45,47,448.73096817612503,33
44,1225,431.4750091660362,1217
43,135,410.41662608033386,9
42,607,435.6098364825858,605
41,73,269.5244712897262,3
40,2,492.60219182824346,1
39,2,,
38,2,393.97084449743113,1
37,7,,
36,23,,
35,8,356.8785251520246,3
34,11,,
33,17,490.61272382732886,15
32,12,505.89496737885645,10
31,54,357.2317974331338,53
30,8,287.65308395541643,5
29,8,,
28,4,813.9094990687385,3
27,13,323.9004946878434,11
26,7,676.0704106611458,5
25,66,394.8241204919785,18
24,1,,
23,3,,
19,1,,
16,1,,
