Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,53,,
55,140,73.79220427864209,137
54,77,48.52790633655431,56
53,36,44.291755192300656,29
52,27,66.79817357545777,23
51,115,60.02895984978096,113
50,87,328.59320613604734,75
49,138,110.65485564106282,131
48,141,61.52249745444357,130
47,216,65.77765817863728,197
46,174,46.314902672960024,156
45,52,33.85717615168313,37
44,1215,32.45192417421762,1211
43,142,22.00890457944538,10
42,604,23.55703549163708,603
41,76,380.2847475895754,4
40,1,,
39,3,,
38,1,,
37,6,,
36,25,36.30014485928087,24
35,7,193.863920353396,3
34,12,,
33,15,156.00586774708034,14
32,14,212.84331595920784,11
31,45,,
30,16,49.89572472022857,5
29,9,,
28,3,,
27,13,206.08990050070028,11
26,6,801.096806148123,4
25,66,128.5690763180465,17
24,2,,
23,3,,
19,1,,
16,1,,
