Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,38.61104313826253,49
55,155,24.153089447619845,148
54,70,15.92105147623158,60
53,32,10.531569223284318,29
52,27,8.811453288510736,23
51,112,5.589507427411807,110
50,88,297.6424464378045,73
49,137,74.37802910487245,128
48,152,40.01090685453676,138
47,209,58.503741327474565,198
46,167,34.32592430071388,150
45,58,51.98957441263831,37
44,1214,25.294534227693134,1210
43,143,26.490305994168914,10
42,602,15.90981624318546,601
41,78,169.27210658120106,4
40,1,,
39,3,,
38,1,,
37,6,,
36,24,44.297106805297965,23
35,8,96.933883653857,3
34,13,,
33,14,,
32,12,299.6739646765506,9
31,50,57.72412835435867,48
30,13,23.178508705893357,5
29,6,,
28,6,751.6696734854748,3
27,12,74.69970376760739,10
26,7,636.370861195326,4
25,67,101.28679735337334,18
24,1,,
23,3,,
19,1,,
16,1,,
