Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,56,41.06063801296298,54
55,141,514.8053529726619,139
54,77,516.0570623924455,58
53,37,518.7447991060392,32
52,23,525.7844882645633,22
51,122,523.4020963323246,119
50,77,665.1548735380496,71
49,138,415.23912324635114,127
48,152,425.3732345348783,137
47,203,449.82468048057063,191
46,181,465.5201729709283,157
45,48,474.50661787683475,34
44,1205,453.91245989950716,1198
43,155,440.2175891119235,10
42,608,459.3788596081915,607
41,71,277.4647943753655,3
40,2,475.9407173139483,1
39,3,,
37,8,457.68524380560865,7
36,23,,
35,8,257.8004295698392,3
34,13,,
33,15,,
32,13,577.5765238582803,11
31,53,,
30,8,354.7326257625627,5
29,8,,
28,5,834.1638122355477,4
27,12,433.8902333727961,11
26,6,860.4552757380162,4
25,65,527.7982483411373,16
24,3,,
23,3,,
19,1,,
16,1,,
