Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,54,335.631819450126,52
55,145,191.05917993822385,141
54,76,192.94363422377393,59
53,33,107.48647779547133,29
52,26,118.80647128014122,22
51,114,115.91458045485548,111
50,88,432.84579994077507,74
49,138,288.6396587183763,130
48,151,115.72817455572493,139
47,209,132.1393670865884,199
46,172,109.91264523576889,156
45,52,142.95284076705764,37
44,1199,89.54118074780037,1195
43,159,88.41087794328693,11
42,601,,
41,78,308.47504839245846,4
40,1,,
39,3,,
38,1,,
37,7,,
36,24,,
35,7,41.6773441527183,3
34,12,,
33,17,134.64570161445616,16
32,11,498.1144715544946,10
31,53,65.7802296407283,52
30,9,123.50124612183562,5
29,8,,
28,3,756.2795307110507,2
27,14,178.77096469053086,11
26,7,605.4963591232536,5
25,64,300.6950247587366,16
24,3,,
23,3,,
19,1,,
16,1,,
