Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,49,304.6326055584858,48
55,149,196.69009536985502,141
54,71,238.7762540970111,54
53,40,143.78700806524085,31
52,24,194.2560902182731,22
51,115,201.68202543960314,112
50,91,334.9759829618467,78
49,133,161.38199688099883,129
48,142,194.02800661200473,129
47,213,134.8154808001514,193
46,173,105.50530167005726,151
45,60,178.19312163060826,40
44,1215,93.79290471905767,1214
43,138,87.82926436981715,9
42,613,103.11454094531595,611
41,68,710.981483336562,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,345.6313365024916,3
34,13,,
33,13,,
32,12,339.86752289197847,8
31,54,105.00379432410823,51
30,9,97.32904057085527,4
29,7,171.63867749644353,6
28,6,674.1296639810832,3
27,13,249.53305782827746,11
26,6,935.0322250890916,4
25,64,455.5024812151837,15
24,4,,
23,3,,
18,1,,
16,1,,
