Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,48,,
55,147,44.990442163069545,139
54,77,25.50881651222231,58
53,33,21.648499816759813,28
52,27,17.32738292452158,22
51,117,17.21253797014435,114
50,85,648.1391617439414,74
49,134,452.3994690774796,126
48,151,265.75213116792946,135
47,206,415.21840998123304,192
46,184,215.90625775645833,161
45,46,298.5501069310063,36
44,1220,179.99851821661116,1215
43,137,150.69959909657436,9
42,597,97.4832255605123,595
41,83,689.1815444786052,3
40,2,96.69125568380467,1
39,3,,
38,1,,
37,7,,
36,27,,
35,3,588.7947872879055,2
34,12,81.45545547362394,11
33,17,1062.5133554715342,15
32,13,612.9591303781233,11
31,50,,
30,10,436.0081816221204,4
29,10,202.14293333748373,9
28,4,,
27,13,404.41527058066407,12
26,6,2013.5372048599643,5
25,65,104.40089646934949,17
24,2,,
23,3,,
19,1,,
16,1,,
