Iteration,SampleCount,S_RADIUS,S_RADIUS_Weight
56,51,0.29986855477807944,50
55,147,0.039075017275633096,141
54,73,0.1047298463682403,56
53,37,0.025799143185974878,30
52,27,0.010618224424767236,24
51,107,0.005269791190086566,106
50,98,7400668.372071667,79
49,138,1.9961375987068515,108
48,143,0.2712728153028115,82
47,204,0.5782120157797118,187
46,174,0.006737570855647564,142
45,56,0.1541984601244871,32
44,1225,0.07163509634208039,1219
43,132,0.1880468505725578,8
42,609,0.2474446360994401,606
41,73,0.25020202309371214,4
40.0,1.0,,
39.0,2.0,,
38,2,0.3728303562336235,1
37,7,,
36.0,27.0,,
35,4,0.33210894137986324,2
34,12,0.7155734377136609,8
33,16,0.46927109556678087,3
32,12,78.87912597808315,9
31,54,34.7115005164765,28
30,8,,
29,9,16.938878578150106,6
28,4,,
27,11,0.5083104028683882,3
26,8,,
25,67,0.7617260541779702,3
23.0,3.0,,
19.0,1.0,,
16.0,1.0,,
