Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,49,1.7554583333333333,48
55,149,1.4269092198581566,141
54,73,1.4949509433962251,53
53,39,1.349039172413794,29
52,24,1.0599928888888894,18
51,119,1.9672582168674668,83
50,87,5.582829333333335,21
49,142,1.4029772373333378,30
48,148,0.9326691199999994,27
47,215,0.7267776953191505,47
46,171,2.1307978509473684,19
45,43,1.0648249600000008,11
44,1336,0.9536745628671989,50
43,19,0.964058267072005,8
42,676,,
41,4,,
40,1,,
39,2,,
38,2,1.3932000000000073,1
37,7,1.005436027351044,5
36,28,,
35,3,,
34,13,15.857421242026657,9
33,16,1.1200000000000188,1
32,12,3.421633663999998,3
31,56,36.75310106879998,2
30,5,17.5726873344,2
29,9,20.37163754624,2
28,4,,
27,13,25.46653740031997,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
