Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,47,1.4393043478260865,46
55,148,1.707323299888518,138
54,82,1.9769848109517616,59
53,32,2.1964612043098746,28
52,26,1.8332925474259583,19
51,120,2.0521801473960983,85
50,87,5.695913188791598,23
49,137,2.236655323218295,27
48,154,1.8471789770621478,30
47,208,1.706405962485324,43
46,177,1.7696178800543076,21
45,41,1.6465957065142218,11
44,1335,1.3196357186233578,49
43,21,2.0976546428808813,9
42,675,,
41,4,,
40,1,,
39,2,,
38,2,2.7253420892401437,1
37,7,1.7633172278329965,5
36,28,,
35,3,,
34,11,16.739854583280867,7
33,18,2.703446451057374,1
32,12,4.405785173532749,3
31,56,35.705046307898904,2
30,4,40.184281523771034,1
29,10,19.749999999999996,2
28,4,,
27,13,35.14323919196419,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
