Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,50,,
55,150,3.212139379292121,144
54,69,5.604690373637484,52
53,40,5.796574378959268,29
52,24,4.914512595034202,18
51,112,3.4347820916330756,76
50,94,8.102797767583901,21
49,140,8.496491400798375,28
48,152,4.223925605870965,29
47,209,3.2118660308209064,43
46,178,3.1509878797659456,22
45,40,2.761784772369366,11
44,1340,2.8094115220785465,54
43,16,2.838612675166628,9
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,7.397819114056555,5
36,28,,
35,3,,
34,11,21.609826430703883,7
33,18,1.890688604976745,1
32,11,9.81533417343789,2
31,57,20.923687357380665,2
30,5,14.589841811323787,2
29,9,14.621291070707802,2
28,4,,
27,13,32.605065949180506,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
