Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,51,1.6421578177804184,50
55,141,0.8267920913713002,135
54,81,0.8405813120233843,55
53,36,1.0412863094696552,28
52,27,0.8642662502331617,20
51,117,1.6837815073902531,83
50,89,5.431386277003865,23
49,140,1.5647346203404884,30
48,150,1.1612917069282214,29
47,210,0.9114108596717162,44
46,174,2.3210459491383655,19
45,44,1.1971036272963798,12
44,1336,0.9137349915145948,51
43,19,1.404652598626323,9
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,0.8920264328450465,4
36,29,,
35,3,,
34,11,12.98958752450758,7
33,17,,
32,13,2.6192542783980124,3
31,56,36.645105228888106,2
30,5,17.63271267575069,2
29,9,17.762582480819606,2
28,4,,
27,13,24.250547634749957,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
