Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,51,,
55,145,1.686533458646617,140
54,75,1.88241657177414,54
53,37,2.0333290521582232,28
52,25,1.8488600407496396,18
51,116,1.9332858911908988,80
50,90,6.074048569371145,21
49,139,2.3962082707344,27
48,152,1.8026205986065784,28
47,214,1.8518971955253118,47
46,171,3.418074410916882,19
45,43,1.60350696432969,11
44,1339,1.4131864138108898,53
43,17,2.1613629039555886,9
42,675,,
41,3,,
40,2,0.751844161859907,1
39,3,,
38,1,,
37,7,1.8451638347530632,5
36,28,,
35,3,,
34,11,20.34457104315794,7
33,18,2.7941710932652057,1
32,12,4.375552597221035,3
31,56,35.61442900851943,2
30,5,20.605000000000004,2
29,9,19.749999999999996,2
28,4,,
27,13,35.053184972258215,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
