Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,49,2.1780000000000004,48
55,141,2.3472932330827048,133
54,87,3.5631440677966126,59
53,31,3.0821296296296308,27
52,26,3.2113333333333327,18
51,119,3.0502590361445785,83
50,87,7.320976190476192,21
49,142,1.288176893916105,30
48,152,2.3657249523694097,31
47,212,3.3422852534928262,48
46,172,3.908178877334094,21
45,42,4.2206446802173545,12
44,1337,2.948727008631794,52
43,17,3.3882325618883407,8
42,676,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,4.544077416443244,4
36,29,,
35,2,,
34,13,10.779297236356625,8
33,17,0.2275667606717633,1
32,11,1.7626718182555692,2
31,57,35.563005697128254,2
30,4,25.781026955897417,1
29,10,16.748186340260194,2
28,2,,
27,15,23.864845095057554,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
