Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,51,2.139178265564085,50
55,145,2.9283643968026456,139
54,78,29.410897612152784,56
53,35,8.17982158686893,28
52,22,44.868924891100065,15
51,114,10.717944923108783,75
50,96,7801565748.721759,22
49,141,343593.83235025307,30
48,149,52916.78059025515,28
47,212,1761.783078675092,45
46,177,644.1012083867815,23
45,40,450.6165629031142,12
44,1342,542.5936659051239,57
43,12,749.7548030138154,8
42,676,,
41,4,,
40,1,,
39,3,,
38,1,,
37,6,808.9604872187804,4
36,29,,
35,3,,
34,11,397.80148204351656,7
33,18,125.50692423856349,1
32,12,395.36267017746303,3
31,56,114.73976972369712,2
30,5,284.3213442257052,2
29,9,593.8033825489473,2
28,3,,
27,14,488.44564226587613,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
