Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,55,1.7539245283018865,53
55,146,1.7576409861325117,143
54,71,1.967944535009793,53
53,36,2.1013944712820236,26
52,28,1.7542416741272888,19
51,114,2.0464318678519113,79
50,94,5.670079798946657,24
49,136,2.4554729621262976,27
48,152,1.9123686526155415,28
47,206,1.8455887166835152,39
46,181,3.271865305581347,21
45,42,1.5281657305037513,12
44,1342,1.462396753387874,57
43,13,2.1798224402791186,9
42,675,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,1.8679076957372984,5
36,28,,
35,2,,
34,12,16.72628246135501,7
33,18,2.798252964552006,1
32,11,6.155000000000001,2
31,57,35.61059157411032,2
30,5,20.605000000000004,2
29,9,19.749999999999996,2
28,3,,
27,14,35.04909226001036,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
