Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,52,,
55,144,1.6719256897759787,140
54,75,6.995949649303345,54
53,36,4.8434361281357345,27
52,28,4.292772010070922,20
51,114,4.313712302450837,80
50,91,10169534266.199558,22
49,143,7669.6577807675685,32
48,147,139.89743750260348,28
47,209,749.2797290305416,42
46,177,15665.14783063763,20
45,43,3054.3804177436173,12
44,1338,22014.145709542714,53
43,14,1070.2126826823662,6
42,678,,
41,4,,
40,1,,
39,3,,
37,8,744.784140568531,5
36,28,,
35,3,,
34,12,9830.131336016897,8
33,17,834.8845212934432,1
32,11,11984.230231550517,2
31,57,14686.916024022983,2
30,5,10339.332166289383,2
29,8,22592.837147606202,1
28,4,31074.263138783444,3
27,14,22408.134673044977,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
