Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,46,,
55,159,1.6838828905200698,149
54,65,1.1150908844076395,53
53,38,1.5834485580815876,28
52,25,2.014235324867384,18
51,118,1.9270192520128815,82
50,89,5.96343516721314,22
49,143,2.3212902184794513,32
48,144,1.6005990453394798,25
47,211,0.9695525994614136,41
46,177,2.9091099831475584,19
45,45,1.5014254296386298,13
44,1334,1.0556774899998962,50
43,20,0.8356582425631132,9
42,675,,
41,2,,
40,3,1.6754683822089476,1
39,3,,
38,1,,
37,7,4.051014673846507,5
36,28,,
35,3,,
34,11,10.859829689384943,7
33,18,1.2811733624716908,1
32,12,4.549170681454754,3
31,56,29.40263987510508,2
30,5,15.000442565160633,2
29,9,20.32438697297938,2
28,4,,
27,13,18.190816909321434,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
