Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,54,1.7723333333333375,51
55,144,2.373215827338128,139
54,79,3.6091666666666686,57
53,32,3.3226538461538486,26
52,28,3.2413421052631577,19
51,113,3.0733076923076923,78
50,93,7.156318181818184,22
49,140,1.4319729166222013,29
48,153,1.4683088749274997,31
47,210,2.090754363825389,46
46,174,3.2663890798594872,21
45,41,3.9290349252873358,11
44,1339,2.487521690331861,53
43,17,3.199916089011072,9
42,675,,
41,4,,
39,3,4.694366174181532,2
38,2,1.7633102734045707,1
37,6,3.30734172881073,4
36,29,,
35,3,,
34,12,10.6433487620522,8
33,17,2.5537386074118444,1
32,12,4.3226579327708805,3
31,55,34.40883875310707,1
30,6,15.069180173183156,2
29,9,24.061824091815783,2
28,3,,
27,14,29.543755313774064,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
