Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,48,,
55,142,2.3324626865671623,134
54,82,3.5839909090909114,55
53,37,3.173224137931037,29
52,23,3.475029411764706,17
51,121,3.162071428571428,84
50,84,7.415447368421055,19
49,143,1.7410052902986117,29
48,152,2.524791349151987,30
47,212,3.815693175718896,47
46,172,4.714624422050028,20
45,44,4.791622013525251,13
44,1339,3.4518984480961517,55
43,15,4.1172823682171105,9
42,675,,
41,2,,
40,3,3.9907485215296106,1
39,3,,
38,1,,
37,7,3.8162869659985175,5
36,28,,
35,3,,
34,11,9.22753970250904,7
33,18,3.828188952079884,1
32,11,2.858494464562604,2
31,57,33.12646618063166,2
30,5,13.660359360976067,2
29,9,22.277388094803978,2
28,3,,
27,14,20.495423144635517,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
