Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,48,6.839210223164511,47
55,150,15.759479482280629,141
54,70,4.883418226241087,50
53,39,4.029315931042179,26
52,27,2.551122890994949,18
51,118,3.6755802562271285,82
50,90,8.370113634221724,23
49,141,7.456946179472912,31
48,145,6.394093223275252,25
47,218,3.821160911433475,48
46,171,5.232637566969838,20
45,44,3.1738996398517028,13
44,1339,4.466772792097485,55
43,15,3.197442774077419,9
42,675,,
41,4,,
40,1,,
39,2,,
38,1,,
37,8,8.431761843086775,5
36,28,,
35,3,,
34,12,17.356162873258924,8
33,16,,
32,13,3.6118338633411704,3
31,56,34.31431625774162,2
30,5,19.547798934081577,2
29,9,19.038893476562034,2
28,4,,
27,13,33.00205633639157,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
