Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,50,,
55,148,2.324788732394364,142
54,71,3.574326923076925,52
53,40,3.191517241379311,29
52,22,3.343124999999998,16
51,126,3.165454545454544,88
50,80,4.148736842105265,19
49,143,5.0309310344827605,29
48,153,4.3051935483871,31
47,207,4.687860465116281,43
46,175,4.782894736842106,19
45,44,4.2103333333333355,12
44,1338,3.9313207547169844,53
43,16,5.353875,8
42,676,,
41,4,,
40,1,,
39,3,,
38,1,,
37,5,5.202333333333328,3
36,30,,
35,2,,
34,11,7.292892883755319,6
33,19,1.2963971834168575,1
32,12,3.563044956215554,3
31,56,34.46381921676058,2
30,5,12.317147486963513,2
29,9,21.525446812058075,2
28,3,,
27,13,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
