Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,56,11.959331548858502,55
55,144,3.7849907665052775,143
54,70,5.434766604270419,52
53,36,4.214542669797953,25
52,28,5.016744550480088,18
51,115,4.368296873689727,79
50,93,6.051471493574411,23
49,138,7.011702887512191,28
48,150,5.030072452686254,27
47,212,3.6429100951387676,44
46,177,3.8232941114412986,22
45,38,2.858022221398149,9
44,1341,2.050759969528593,53
43,16,1.4170408790420232,8
42,676,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,2.8486567132832503,5
36,28,,
35,3,,
34,12,16.706619726803083,8
33,17,7.545806438687492,1
32,12,10.401663274731584,3
31,56,27.60825705127487,2
30,4,24.912953926808342,1
29,10,15.943603485543402,2
28,4,,
27,13,26.23494330096151,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
