Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,47,,
55,151,2.307640845070421,142
54,75,3.482642857142859,56
53,33,3.0843461538461554,26
52,29,3.3353499999999996,20
51,116,3.1882926829268294,82
50,89,7.337363636363638,22
49,139,1.824071164026628,28
48,151,3.4473703717423376,28
47,212,4.370398290172544,45
46,172,4.565694194571622,18
45,46,5.399945367404145,13
44,1338,3.666467184575048,54
43,14,4.568993400174691,7
42,677,,
41,4,,
40,1,,
39,2,,
38,2,1.1153728387834008,1
37,6,3.6436232832363977,4
36,29,,
35,3,,
34,13,12.02506468617094,9
33,16,2.201904503414397,1
32,11,2.2413750077557353,2
31,56,33.952638773860464,1
30,6,16.885786425316446,2
29,9,21.429782491009238,2
28,4,,
27,12,,
26,7,,
25,67,,
23,3,,
19,1,,
16,1,,
