Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,53,,
55,147,2.1196749321801716,144
54,71,1.5081789211822831,54
53,38,1.6751026385650196,29
52,24,1.4205354514184774,18
51,117,2.002581176064533,81
50,92,5.647360855630405,24
49,137,2.4406718156916507,28
48,152,1.3106615104792751,29
47,208,1.5398724432523307,42
46,176,2.7931594687132475,19
45,45,1.1902654471737173,13
44,1334,0.708749844824923,50
43,18,0.8458230828913632,7
42,677,,
41,3,,
40,2,2.734566418903327,1
39,2,,
38,2,3.166044781396465,1
37,6,2.8594283070680184,4
36,29,,
35,2,,
34,13,20.878729131499252,8
33,17,1.644124587540304,1
32,10,6.519031888854087,1
31,58,30.193487448405506,2
30,4,1.4735484029463208,1
29,10,18.729075878625277,2
28,4,,
27,13,19.44364101909516,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
