Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,51,,
55,146,1.3032482269503547,141
54,74,0.9644259259259269,54
53,32,0.9866521739130446,23
52,32,0.9552000000000028,20
51,116,1.7141341463414612,82
50,89,5.613772727272728,22
49,139,0.48078571428571387,28
48,152,0.6024827586206919,29
47,211,0.7180222222222211,45
46,175,1.9953333333333343,21
45,41,0.5914545454545429,11
44,1339,0.9936226415094332,53
43,16,0.5356249999999996,8
42,676,,
41,4,,
40,1,,
39,2,,
38,2,0.4000000000000199,1
37,5,0.49400000000000927,3
36,30,,
35,2,,
34,14,17.267777777777773,9
33,16,0.0899999999999892,1
32,12,2.1999999999999935,3
31,56,37.55849999999999,2
30,5,1.505000000000006,2
29,9,2.298499999999997,2
28,3,,
27,14,10.800000000000004,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
