Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,51,1.7520000000000038,50
55,144,2.3304130434782593,138
54,76,3.3748396226415123,53
53,38,3.230571428571431,28
52,25,3.4013333333333327,18
51,117,2.970030864197531,81
50,89,7.287642857142859,21
49,141,6.523411720783324,29
48,148,6.249857151445409,26
47,216,6.167052581010467,47
46,174,7.575988411170189,22
45,40,5.847831136211003,11
44,1340,4.918422154344898,54
43,14,6.169399965144054,7
42,677,,
41,4,,
40,1,,
39,2,,
38,2,6.4619029800443,1
37,7,4.942843639566786,5
36,28,,
35,3,,
34,13,11.237631303624378,9
33,16,2.7052314984088355,1
32,12,3.618334856383001,3
31,56,32.66410357798611,2
30,5,12.31382278286766,2
29,9,20.211285310111403,2
28,4,,
27,13,8.512127044194237,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
