Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,52,1.7166862745098042,51
55,145,1.6434221804511289,140
54,75,1.982177854335143,54
53,33,2.1392083333333343,24
52,30,1.8716050423884696,19
51,115,1.9983751867219257,80
50,88,6.228387761616094,19
49,143,2.3902440436537327,29
48,147,1.812869029635026,25
47,217,1.6999355176099762,47
46,173,3.2411606104137736,21
45,43,1.553804979997679,13
44,1338,1.3880946867998005,54
43,16,2.124483118739301,9
42,675,,
41,3,,
40,2,0.799070322684841,1
39,3,,
38,1,,
37,7,1.7980091420891966,5
36,28,,
35,3,,
34,13,16.460485961368143,9
33,16,2.745536739004379,1
32,12,4.391759239548634,3
31,56,35.66300581998909,2
30,5,20.605000000000004,2
29,9,19.749999999999996,2
28,4,,
27,13,35.10162112767579,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
