Iteration,SampleCount,P_INCLINATION,P_INCLINATION_Weight
56,50,,
55,150,18.0325237005108,144
54,73,3.5811851245639374,56
53,33,6.941175476589308,26
52,29,3.181618656702807,20
51,108,4.730665713461587,74
50,98,8.130644944995428,23
49,138,7.537913984434197,28
48,149,3.289072449727709,26
47,213,4.009658717584715,44
46,175,5.574731252280807,20
45,43,3.4755843652449605,12
44,1341,2.7834472051584234,56
43,13,3.4417829298327103,8
42,676,,
41,4,,
40,1,,
39,3,,
38,1,,
37,7,9.378283580175676,5
36,28,,
35,3,,
34,12,14.806992214684062,8
33,16,,
32,12,8.669769140258026,2
31,57,21.96547809900379,2
30,5,15.484769701721554,2
29,8,32.401353574458405,1
28,5,10.481456966070015,4
27,13,0.1963897312384546,1
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
