Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,0.08023390952270375,50
55,152,0.06503417293411466,146
54,69,0.03899666887819599,57
53,38,0.05149772304625469,32
52,24,0.049563839556645714,23
51,112,0.03879796898174328,110
50,88,0.10011871890360396,73
49,138,0.07650218487824684,129
48,149,0.06636206450620503,136
47,200,0.06033219687867522,187
46,177,0.0600865067450618,149
45,56,0.06658026183176742,34
44,1221,0.052063877138467524,1214
43,137,0.04089143647439833,8
42,607,0.04560797430603006,604
41,75,0.2265324536522158,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
