Iteration,SampleCount,P_ESI,P_ESI_Weight
56,50,,
55,148,0.022762053070422533,142
54,72,0.018553050839285715,56
53,36,0.024714543379310342,29
52,27,0.02256620243478261,23
51,115,0.010640412221238937,113
50,81,0.06507409763768116,69
49,139,0.04109444968253968,126
48,156,0.03303930534999999,140
47,204,0.021976765425641028,195
46,171,0.018756578516556294,151
45,54,0.01464569720588236,34
44,1209,0.017250576252079868,1202
43,149,0.01968914124999999,8
42,616,0.006786824420880914,613
41,66,0.37539643175,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
