Iteration,SampleCount,P_ESI,P_ESI_Weight
56,54,0.10029306654716981,53
55,144,0.08038983365777137,141
54,71,0.09370658318381125,54
53,36,0.11805660524991063,27
52,30,0.09035455577906837,24
51,118,0.09371551847239151,117
50,80,0.12462356238025024,72
49,144,0.15895819019896087,134
48,138,0.15246767255706262,130
47,208,0.1337362751350878,189
46,188,0.10351172655299205,162
45,44,0.14625530447227306,35
44,1209,0.07998413858888608,1203
43,151,0.06368838404589787,11
42,600,,
41,79,0.13202936395086243,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
