Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,0.05878850724753671,50
55,148,0.033624041672946,142
54,71,0.43710022545213384,55
53,38,488031387.3139314,30
52,24,400759679.0760937,21
51,113,1.3311040290464594e+16,109
50,94,1.6370177292311934e+22,78
49,130,5.402905592239563e+17,126
48,149,3.8880508069727744e+17,133
47,211,1.985715571190609e+17,195
46,175,9.54792657107924e+16,155
45,55,7.704196793743701e+16,39
44,1205,8.990414341159883e+16,1203
43,151,3.752812560899897e+16,11
42,605,,
41,74,2.674705779969342e+16,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
