Iteration,SampleCount,P_ESI,P_ESI_Weight
56,53,0.07745150309615384,52
55,153,0.01954446611409396,149
54,63,0.01557823488888889,54
53,38,0.01954863789655173,29
52,28,0.020157672916666668,24
51,115,0.009795482956140352,114
50,88,0.063645249,77
49,132,0.03455552618110236,127
48,146,0.03867618799236641,131
47,208,0.020935277057894736,190
46,184,0.016135729830188676,159
45,47,0.016613118542857137,35
44,1211,0.011828026009958506,1205
43,149,0.010468074545454543,11
42,595,,
41,84,0.25553232675,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
