Iteration,SampleCount,P_ESI,P_ESI_Weight
56,50,,
55,144,0.07040380911588259,138
54,73,0.059881862212616994,53
53,39,0.06638698488318358,29
52,26,0.05505177683966182,22
51,114,0.05174572731418861,111
50,85,0.08302889999558755,71
49,135,0.08193715524058238,124
48,154,0.08086394310417648,136
47,210,0.06202765111909808,197
46,179,0.058732189228184656,161
45,48,0.06425971766655278,38
44,1210,0.04924824912576037,1207
43,147,0.04548301549041716,11
42,603,,
41,76,0.2657235170985077,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
