Iteration,SampleCount,P_ESI,P_ESI_Weight
56,56,0.06869729894501982,54
55,137,0.08795748352356299,135
54,81,0.299552838532936,58
53,36,0.18549998119551914,31
52,24,0.11108689227663536,22
51,120,0.06733193558057658,117
50,86,11793409.377188388,78
49,132,108.26534463947762,128
48,146,3.676950796210398,132
47,207,161.06718939019993,190
46,181,7137.484338878975,156
45,50,737.3529952493801,35
44,1199,309.38234756497314,1193
43,160,1254.4605436373795,10
42,616,1378.9113231393576,615
41,63,808.9824955119954,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
