Iteration,SampleCount,P_ESI,P_ESI_Weight
56,52,,
55,141,0.08526393633589228,137
54,79,0.08925567282199046,58
53,34,0.098101358006115,29
52,26,0.09233173378328174,22
51,113,0.0945038134885394,110
50,93,0.12357318273841285,78
49,132,0.15586305227986516,128
48,153,0.15480841186683905,139
47,197,0.1292735363209692,187
46,180,0.1057808031933929,152
45,55,0.14756617292175692,36
44,1215,0.07943925541249588,1210
43,144,0.06378682484485944,11
42,603,,
41,75,0.09248397976307134,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
