Iteration,SampleCount,P_ESI,P_ESI_Weight
56,50,0.050939819571398114,49
55,154,0.02545699589542552,147
54,69,0.028672522204417707,58
53,33,0.033291778388262125,28
52,29,0.03247903815633733,24
51,113,0.016543280050149652,112
50,89,0.08697828769617925,76
49,134,0.0812897492401701,128
48,149,0.07893910232672495,135
47,210,0.06475524164346316,196
46,179,0.053009712207394255,160
45,50,0.06817606656964077,39
44,1191,0.04151683546670075,1189
43,162,0.054331389947877395,8
42,606,0.03436748043261341,603
41,76,0.18085603351264778,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
