Iteration,SampleCount,P_ESI,P_ESI_Weight
56,54,0.06114407704453818,53
55,144,0.02736953493105106,141
54,75,0.031548515954643024,58
53,35,0.03535399136497879,30
52,26,0.02983987495614334,23
51,118,0.020564178477019218,116
50,86,0.11125187496810952,77
49,132,0.0593286299142664,127
48,145,0.05676616674463867,130
47,216,0.04033088589052895,197
46,169,0.032724400051327436,151
45,58,0.04407724087540571,38
44,1207,0.023538784615785385,1204
43,149,0.018625800663373975,10
42,599,0.015135827685563987,598
41,80,0.15242830571548244,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
