Iteration,SampleCount,P_ESI,P_ESI_Weight
56,54,,
55,149,0.08221128047244898,147
54,64,0.08936705736099124,53
53,40,0.11108597626788125,30
52,28,0.08925947339198252,25
51,113,,
50,84,0.124807701886616,72
49,134,0.16101852325204516,124
48,151,0.1523970505217213,133
47,211,0.13630588627360438,195
46,173,0.10067663047497787,153
45,53,0.15296153032734744,35
44,1201,0.08020546940265993,1195
43,157,0.0399342506129773,9
42,615,0.05581394805169032,613
41,66,0.13197640540807118,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
