Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,0.08258776798172975,50
55,150,0.06732702103250172,144
54,68,0.04022006583258161,54
53,41,0.0455823376467067,32
52,22,0.05261818231163685,21
51,115,0.03668871097933696,111
50,92,0.10397159418078221,78
49,127,0.08344029291403945,123
48,150,0.06720325078810514,131
47,206,0.06163017723355662,188
46,175,0.06252914202728621,148
45,59,0.062365516562921025,36
44,1218,0.053201642664607786,1213
43,141,0.031732018745640835,11
42,614,,
41,63,0.21018654087620747,2
40,3,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
