Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,,
55,145,0.026405373644851373,140
54,74,0.028073571403411476,56
53,33,0.029946839224315666,26
52,31,0.03282689230464854,24
51,115,0.015062275289218968,114
50,82,0.08769983623827969,71
49,140,0.0850027410600683,129
48,153,0.07874259622534084,140
47,196,0.06679545180672873,187
46,181,0.051609779088096594,153
45,56,0.0681142782047756,38
44,1204,0.04447901201335692,1201
43,151,0.05579213497940832,9
42,614,0.03481906400775565,612
41,67,0.17685576575771877,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
