Iteration,SampleCount,P_ESI,P_ESI_Weight
56,52,,
55,144,0.02371563984060301,140
54,74,0.026808493492954433,56
53,39,0.032549808743740895,32
52,23,0.03429665191030754,22
51,117,0.017110573728955532,114
50,87,0.08617712713095382,76
49,131,0.08572640764898005,125
48,150,0.07623145921679936,133
47,209,0.06771969622162136,193
46,172,0.05242022928111413,150
45,58,0.07047194014264399,37
44,1214,0.04413902611101058,1210
43,144,0.05477580202023834,11
42,600,,
41,79,0.18151459829528793,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
