Iteration,SampleCount,P_ESI,P_ESI_Weight
56,50,,
55,147,0.02774694358317454,141
54,72,0.028789951319378424,55
53,37,0.025576103400764126,29
52,29,0.030772571471122907,25
51,114,,
50,84,0.14885167809514332,73
49,136,0.07499426678958238,127
48,145,0.0642643704500851,130
47,210,0.04886386282440683,191
46,183,0.043761035433244076,159
45,50,0.057697625864557095,38
44,1204,0.017531339789994074,1201
43,153,0.029427501862392593,11
42,608,,
41,70,0.17575568106306658,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
