Iteration,SampleCount,P_ESI,P_ESI_Weight
56,50,,
55,152,0.07141741266981441,146
54,70,0.062438086753359164,58
53,33,0.058307310293087306,28
52,27,0.05855261190942426,22
51,116,0.05156456896791686,113
50,86,0.09171142261492066,74
49,133,0.08362090723522217,125
48,154,0.07847041241157014,137
47,204,0.06157527321660715,192
46,173,0.058003562600734644,150
45,60,0.05867525866693021,39
44,1204,0.05106635376684582,1202
43,151,0.04303000472636445,10
42,606,0.04406208912872166,605
41,74,0.26393203030021195,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
