Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,,
55,148,0.08418865546534168,143
54,71,0.08665347133697811,56
53,38,0.11121419964829186,31
52,24,0.09149093184379402,22
51,121,0.08959512651774791,118
50,82,0.12395838607619944,75
49,137,0.15954820775970946,130
48,148,0.15406716574490764,136
47,204,0.13763792800878544,191
46,173,0.10332649453036717,149
45,61,0.1395783332030143,39
44,1201,0.08031708678320545,1199
43,153,0.06549853193727966,9
42,605,0.054624619851323185,603
41,75,0.09014870077456166,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
