Iteration,SampleCount,P_ESI,P_ESI_Weight
56,51,,
55,146,0.016918468070921986,141
54,72,0.017837395872727275,55
53,41,0.020253109000000002,33
52,21,,
51,116,0.005663320178571429,112
50,89,0.05787164428947368,76
49,137,0.04852001814503816,131
48,142,0.027426316137404583,131
47,212,0.019084542304123712,194
46,175,0.017715033863636362,154
45,53,0.016089738138888893,36
44,1206,0.01121770404995837,1201
43,151,0.007635893333333322,9
42,608,0.0074716168811881185,606
41,73,0.25834587425,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
