Iteration,SampleCount,P_ESI,P_ESI_Weight
56,50,0.07811570994895427,49
55,152,0.07324555615907785,145
54,73,0.06735948121280146,60
53,33,0.06447260205845161,30
52,28,0.057443874210502274,25
51,107,,
50,89,0.08523141086810387,71
49,141,0.08098304369095846,130
48,149,0.07873678721407477,137
47,209,0.061946390471672476,197
46,172,0.058790814631632875,154
45,55,0.05808043488213826,38
44,1198,0.050064600800436225,1195
43,159,0.04078961374045785,11
42,605,,
41,72,0.2530511567984588,2
40,3,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
